A	B
0.9758	0.00448
1.03778	0.00448
1.12633	0.00433
1.24321	0.00376
1.31582	0.0035
1.44864	0.00292
1.5124	0.00253
1.60094	0.00212
1.68241	0.00185
1.81523	0.00143
1.93211	0.00104
2.04014	7.81567E-4
2.10213	6.32737E-4
2.19244	5.12248E-4
2.28985	3.97547E-4
2.36246	2.99961E-4
2.45986	2.26329E-4
2.51476	1.88464E-4
2.59445	1.37282E-4
2.69362	9.92983E-5
2.82645	6.50812E-5
2.95218	4.38735E-5
3.06021	2.56913E-5
3.13105	2.00795E-5
3.21251	1.51505E-5
3.2745	1.21794E-5
3.33648	1.02135E-5
3.40909	8.26858E-6
3.47993	5.57413E-6
3.55254	4.20584E-6
3.61452	3.38105E-6
3.67651	2.8353E-6
3.71192	2.46285E-6
3.8111	1.71978E-6
3.85537	1.39229E-6
3.92798	1.12717E-6
3.9634	8.15295E-7
4.01653	6.37208E-7
4.07143	4.77418E-7
4.12456	3.73135E-7
4.15112	4.14703E-7
4.17769	4.77418E-7
4.21311	4.44957E-7
4.25915	4.00356E-7
4.30342	3.0208E-7
4.3477	2.34439E-7
4.39197	1.96597E-7
4.42031	1.43207E-7
4.45573	1.1114E-7
4.45573	1E-7
